아카, 180, 91
마자, 162, 49
카타, 160, 94
바마, 184, 48
하타, 182, 74
아다, 159, 57
사나, 170, 53
타하, 154, 47
가타, 152, 68
파사, 152, 71
마마, 183, 57
파아, 160, 45
타마, 153, 44
아아, 185, 66
아다, 186, 64
차사, 181, 97
마타, 151, 60
라자, 178, 80
하카, 184, 78
가나, 168, 58
마라, 169, 67
차차, 165, 48
라카, 174, 94
차타, 179, 88
아자, 168, 75
카바, 150, 98
카다, 170, 78
자마, 161, 61
파나, 166, 47
다마, 164, 93
차차, 163, 62
하아, 154, 46
타카, 176, 57
마다, 181, 78
바라, 175, 95
사바, 159, 80
카바, 172, 96
파아, 173, 81
마바, 151, 91
바다, 152, 63
자라, 165, 81
차자, 171, 53
바차, 169, 99
자바, 166, 55
차라, 155, 61
마나, 154, 70
나파, 187, 62
타나, 177, 97
다사, 169, 61
차차, 151, 48
바자, 154, 49
타자, 153, 82
마다, 163, 86
사바, 172, 42
가아, 153, 87
라파, 161, 64
사파, 158, 96
하바, 171, 74
자차, 189, 63
타나, 154, 73
아라, 153, 68
나나, 165, 66
가바, 186, 55
다카, 150, 93
바타, 172, 90
아아, 158, 66
라차, 178, 66
마다, 159, 61
차파, 177, 92
파나, 180, 50
바바, 154, 54
타카, 185, 55
사마, 180, 89
차마, 183, 96
카사, 177, 74
나아, 187, 57
아파, 177, 48
차자, 156, 96
사아, 184, 55
하타, 160, 75
마차, 185, 61
마타, 181, 71
나카, 154, 81
라아, 171, 86
다가, 184, 53
하하, 162, 77
바나, 175, 50
라바, 178, 87
사파, 154, 61
카가, 184, 47
다나, 178, 82
사자, 171, 78
차다, 170, 65
라나, 163, 59
바나, 163, 59
마카, 163, 92
자나, 162, 93
가가, 172, 83
바차, 174, 63
가마, 163, 66
파나, 185, 56
라라, 154, 52
자다, 172, 47
다다, 188, 83
아하, 158, 97
마차, 161, 78
다나, 170, 57
가자, 182, 48
하다, 184, 65
마가, 163, 64
다가, 157, 40
바다, 185, 80
카바, 167, 45
마가, 161, 65
사카, 188, 51
파나, 183, 66
마바, 171, 41
차사, 162, 92
아사, 170, 63
아파, 185, 56
카라, 178, 90
파나, 185, 55
바마, 186, 54
자자, 155, 43
아카, 156, 49
하나, 176, 69
자하, 185, 68
가가, 152, 77
바카, 152, 45
아자, 179, 46
카아, 150, 84
차아, 180, 80
마나, 156, 62
다카, 170, 94
타다, 181, 75
다차, 179, 57
타나, 151, 74
하나, 161, 40
자자, 166, 52
나바, 152, 53
라가, 178, 40
아아, 162, 90
하가, 156, 68
다파, 165, 96
바카, 157, 85
자하, 189, 86
파마, 184, 69
하자, 160, 99
카라, 158, 61
가차, 187, 54
사자, 156, 99
다다, 150, 86
마타, 169, 64
아다, 183, 47
바카, 165, 92
타사, 184, 47
하자, 185, 59
차자, 178, 87
사나, 157, 84
타타, 189, 77
다사, 161, 47
라파, 162, 80
자파, 184, 46
다타, 160, 77
나나, 154, 94
나자, 177, 85
아나, 173, 41
사가, 181, 85
나하, 162, 75
차가, 173, 83
다차, 180, 66
아가, 188, 53
라아, 168, 64
바마, 173, 62
차파, 176, 54
바바, 161, 71
바카, 176, 55
바사, 163, 78
카라, 184, 52
나카, 177, 41
다바, 165, 42
마마, 163, 59
타바, 173, 49
사자, 162, 68
차자, 185, 46
나바, 182, 96
나파, 169, 88
파하, 177, 96
가하, 184, 51
바사, 182, 78
차나, 169, 44
나아, 189, 65
나아, 180, 75
마차, 187, 85
카다, 176, 41
아사, 167, 41
마가, 163, 56
하라, 173, 95
자바, 175, 77
바타, 165, 41
라하, 179, 99
차카, 152, 66
다하, 166, 87
카바, 161, 70
아사, 162, 45
나나, 182, 87
카타, 176, 99
사마, 188, 75
파다, 151, 88
하아, 176, 94
바마, 154, 45
자차, 188, 47
카가, 157, 41
마다, 174, 48
가마, 159, 91
아바, 172, 70
바자, 180, 70
바타, 176, 64
아마, 167, 88
파다, 177, 47
카자, 151, 76
하하, 175, 52
아라, 170, 66
자사, 152, 88
타타, 178, 69
카바, 180, 92
마라, 153, 69
바사, 159, 81
바카, 164, 73
다라, 150, 45
자사, 151, 90
라아, 174, 73
라자, 159, 69
타자, 180, 85
마파, 172, 73
차아, 156, 46
카사, 184, 74
사카, 161, 92
사카, 171, 65
라카, 150, 68
카자, 152, 43
사타, 170, 93
가카, 161, 73
차다, 178, 90
카아, 174, 68
사자, 185, 79
하타, 182, 40
아차, 177, 73
파바, 152, 43
가파, 183, 43
타파, 156, 97
사차, 184, 68
타차, 174, 69
아파, 168, 58
파마, 157, 75
하자, 175, 81
마하, 159, 67
라사, 166, 96
카카, 161, 52
자카, 150, 72
하하, 154, 88
다자, 164, 71
아파, 183, 54
타마, 170, 75
라마, 188, 92
나아, 181, 42
타아, 186, 54
나타, 162, 46
나자, 162, 43
라자, 181, 71
카카, 172, 48
카하, 153, 47
다가, 189, 83
하자, 188, 54
카차, 177, 85
카가, 156, 85
타마, 171, 89
아다, 187, 59
사파, 171, 72
자가, 175, 69
가파, 180, 84
파사, 178, 82
차타, 168, 44
바카, 179, 55
사바, 180, 81
차아, 152, 82
파마, 178, 99
나아, 185, 79
사마, 186, 95
라아, 153, 81
자사, 152, 79
차자, 181, 74
바사, 187, 93
가나, 177, 60
라라, 173, 70
하바, 162, 43
다나, 181, 63
나라, 162, 58
하마, 152, 53
차나, 159, 71
차나, 174, 50
카타, 169, 76
라카, 156, 51
나자, 164, 80
라라, 173, 89
자하, 153, 94
하바, 184, 75
다타, 177, 54
타가, 174, 58
마카, 169, 92
가나, 180, 59
바라, 166, 47
하사, 185, 93
다아, 164, 65
하나, 174, 80
자나, 154, 79
바자, 152, 60
다가, 159, 80
카가, 179, 50
나아, 186, 42
마파, 154, 55
바다, 188, 65
파바, 173, 63
가타, 187, 52
나가, 186, 52
바파, 180, 94
라마, 157, 94
사라, 160, 58
아아, 159, 54
차아, 169, 71
타사, 155, 87
타파, 181, 67
아라, 150, 78
차라, 178, 54
파가, 153, 50
사아, 167, 67
가마, 179, 90
사자, 184, 56
바차, 173, 92
카타, 160, 84
아파, 182, 61
가파, 172, 80
나사, 159, 77
자라, 173, 47
다타, 164, 99
바차, 162, 95
차파, 182, 77
타파, 175, 74
자카, 178, 75
마가, 178, 67
사바, 169, 45
파가, 168, 57
다마, 172, 86
아파, 183, 49
타하, 161, 40
사파, 189, 61
카차, 171, 55
나카, 153, 97
차카, 184, 86
라마, 188, 64
파타, 188, 79
차마, 159, 98
다마, 153, 57
아바, 182, 96
